LotId,Symbol,PurchaseDate,Shares,PurchasePrice,CurrentPrice,AccountType
1,AAPL,2022-03-15,20,165.00,189.75,Taxable
2,AAPL,2023-07-10,30,178.50,189.75,Taxable
3,MSFT,2021-11-01,35,330.00,415.20,Roth
4,NVDA,2023-01-20,10,180.00,875.30,Taxable
5,NVDA,2024-06-15,10,800.00,875.30,Taxable
6,PFE,2022-08-05,50,48.00,27.50,Taxable
7,PFE,2023-12-01,50,28.00,27.50,Taxable
8,JNJ,2021-06-20,40,165.00,155.80,Traditional
9,UNH,2023-03-10,12,470.00,525.40,Taxable
10,JPM,2022-01-15,15,155.00,198.50,Taxable
11,JPM,2024-01-20,10,170.00,198.50,Taxable
12,GS,2023-09-01,10,340.00,465.75,Roth
13,BRK.B,2022-05-10,20,310.00,410.20,Taxable
14,V,2021-09-15,18,230.00,278.30,Traditional
15,XOM,2023-02-28,25,90.00,108.40,Taxable
16,XOM,2024-08-10,20,112.00,108.40,Taxable
17,CVX,2022-07-01,30,145.00,158.75,Traditional
18,NEE,2023-11-15,35,75.00,65.30,Roth
19,PG,2022-04-20,28,155.00,168.25,Taxable
20,KO,2021-08-01,60,56.00,62.40,Traditional
21,COST,2023-05-12,8,510.00,725.50,Roth
22,WMT,2022-10-01,35,135.00,172.80,Taxable
23,BND,2023-01-05,150,80.00,72.50,Traditional
24,AGG,2022-06-15,120,105.00,96.80,Traditional
25,TLT,2023-08-20,80,100.00,92.40,Roth
26,VTIP,2022-09-01,100,50.00,49.20,Traditional
27,LQD,2023-04-10,90,115.00,108.50,Taxable
28,ABBV,2021-12-01,30,135.00,178.90,Traditional
29,GOOGL,2023-06-01,15,125.00,172.45,Traditional
30,AMZN,2024-02-01,25,155.00,185.60,Roth
